player_value,dealer_up,has_pair,can_split,action
21,*,*,*,s
20,*,*,*,s
19,*,*,*,s
18,*,*,*,s
17,*,*,*,s
16,2,*,*,s
16,3,*,*,s
16,4,*,*,s
16,5,*,*,s
16,6,*,*,s
16,7,*,*,h
16,8,*,*,h
16,9,*,*,h
16,10,*,*,h
16,11,*,*,h
15,2,*,*,s
15,3,*,*,s
15,4,*,*,s
15,5,*,*,s
15,6,*,*,s
15,7,*,*,h
15,8,*,*,h
15,9,*,*,h
15,10,*,*,h
15,11,*,*,h
14,2,*,*,s
14,3,*,*,s
14,4,*,*,s
14,5,*,*,s
14,6,*,*,s
14,7,*,*,h
14,8,*,*,h
14,9,*,*,h
14,10,*,*,h
14,11,*,*,h
13,2,*,*,s
13,3,*,*,s
13,4,*,*,s
13,5,*,*,s
13,6,*,*,s
13,7,*,*,h
13,8,*,*,h
13,9,*,*,h
13,10,*,*,h
13,11,*,*,h
12,2,*,*,h
12,3,*,*,h
12,4,*,*,s
12,5,*,*,s
12,6,*,*,s
12,7,*,*,h
12,8,*,*,h
12,9,*,*,h
12,10,*,*,h
12,11,*,*,h
11,*,*,*,d
10,*,*,*,d
9,2,*,*,h
9,3,*,*,d
9,4,*,*,d
9,5,*,*,d
9,6,*,*,d
9,7,*,*,h
9,8,*,*,h
9,9,*,*,h
9,10,*,*,h
9,11,*,*,h
8,*,*,*,h
7,*,*,*,h
6,*,*,*,h
5,*,*,*,h
4,*,*,*,h
*,*,true,true,v